ID,Latitude,Longitude,n,date_min,date_max,mins,hours,days
4,-18.8498,34.2096,57,2021-07-19 21:00:50 UTC,2021-07-28 9:00:50 UTC,12240,204,8.5
5,-18.8498,34.2097,114,2021-07-24 17:00:31 UTC,2021-07-29 5:00:10 UTC,6479.65,107.994166666667,4.49975694444444
4,-18.8497,34.2094,114,2021-07-07 13:00:24 UTC,2021-07-13 1:00:50 UTC,7920.43333333333,132.007222222222,5.50030092592593
2,-18.8496,34.2093,95,2021-07-09 21:00:50 UTC,2021-07-20 17:00:49 UTC,15599.9833333333,259.999722222222,10.8333217592593
3,-18.8496,34.2094,247,2021-07-08 21:00:10 UTC,2021-07-27 9:06:55 UTC,26646.75,444.1125,18.5046875
4,-18.8496,34.2095,95,2021-07-16 1:00:20 UTC,2021-07-29 9:00:01 UTC,19199.6833333333,319.994722222222,13.3331134259259
5,-18.8496,34.2097,57,2021-07-13 9:00:50 UTC,2021-07-25 9:00:31 UTC,17279.6833333333,287.994722222222,11.9997800925926
2,-18.8495,34.209,38,2021-06-23 17:11:26 UTC,2021-07-01 13:00:40 UTC,11269.2333333333,187.820555555556,7.82585648148148
3,-18.8495,34.2091,171,2021-06-14 17:14:26 UTC,2021-07-08 1:00:01 UTC,33585.5833333333,559.759722222222,23.3233217592593
5,-18.8495,34.2094,95,2021-07-14 1:06:02 UTC,2021-07-18 1:00:49 UTC,5754.78333333333,95.9130555555556,3.99637731481482
6,-18.8495,34.2095,114,2021-07-12 17:00:31 UTC,2021-07-20 1:00:31 UTC,10560,176,7.33333333333333
7,-18.8495,34.2096,76,2021-07-06 13:00:10 UTC,2021-07-24 13:00:31 UTC,25920.35,432.005833333333,18.0002430555556
8,-18.8495,34.2097,76,2021-07-14 13:00:25 UTC,2021-07-24 9:00:23 UTC,14159.9666666667,235.999444444444,9.83331018518519
2,-18.8494,34.2089,57,2021-06-13 5:24:56 UTC,2021-07-04 5:00:07 UTC,30215.1833333333,503.586388888889,20.9827662037037
3,-18.8494,34.209,95,2021-06-24 13:00:56 UTC,2021-07-06 5:06:32 UTC,16805.6,280.093333333333,11.6705555555556
4,-18.8494,34.2091,171,2021-06-06 21:29:26 UTC,2021-07-03 9:00:01 UTC,38130.5833333333,635.509722222222,26.4795717592593
5,-18.8494,34.2092,57,2021-06-17 17:08:54 UTC,2021-07-07 21:00:10 UTC,29031.2666666667,483.854444444445,20.1606018518519
2,-18.8493,34.209,57,2021-06-23 21:00:25 UTC,2021-07-06 9:00:52 UTC,18000.45,300.0075,12.5003125
3,-18.8493,34.2091,95,2021-06-24 21:00:50 UTC,2021-07-05 9:06:10 UTC,15125.3333333333,252.088888888889,10.5037037037037
4,-18.8493,34.2092,38,2021-06-28 5:00:10 UTC,2021-07-02 1:00:31 UTC,5520.35,92.0058333333333,3.83357638888889
3,-18.8489,34.2084,38,2021-05-05 17:00:02 UTC,2021-05-24 9:00:26 UTC,26880.4,448.006666666667,18.6669444444444
2,-18.8488,34.2085,38,2021-05-06 13:00:01 UTC,2021-05-17 13:00:32 UTC,15840.5166666667,264.008611111111,11.0003587962963
4,-18.8488,34.2093,57,2021-04-03 21:00:02 UTC,2021-05-09 5:00:10 UTC,50880.1333333333,848.002222222222,35.3334259259259
3,-18.8473,34.2319,38,2021-02-09 22:29:01 UTC,2021-02-12 1:42:32 UTC,3073.51666666667,51.2252777777778,2.13438657407407
5,-18.8473,34.3408,3,2020-10-18 17:00:01 UTC,2020-10-26 18:00:31 UTC,11640.5,194.008333333333,8.08368055555556
1,-18.8468,34.2246,95,2021-02-10 16:33:50 UTC,2021-02-13 1:49:40 UTC,3435.83333333333,57.2638888888889,2.38599537037037
3,-18.8466,34.2237,38,2021-05-29 1:00:02 UTC,2021-06-01 13:00:10 UTC,5040.13333333333,84.0022222222222,3.50009259259259
6,-18.8463,34.2266,21,2021-01-08 13:00:32 UTC,2021-10-21 17:00:16 UTC,412019.733333333,6866.99555555556,286.124814814815
1,-18.8457,34.2197,6,2021-04-06 19:06:02 UTC,2021-04-09 3:06:02 UTC,3360,56,2.33333333333333
5,-18.8456,34.22,8,2021-04-08 23:00:40 UTC,2021-04-30 7:06:04 UTC,30725.4,512.09,21.3370833333333
7,-18.8456,34.253,57,2020-12-12 19:08:10 UTC,2021-10-11 6:00:32 UTC,435472.366666667,7257.87277777778,302.411365740741
1,-18.8455,34.2198,4,2021-04-07 7:00:50 UTC,2021-04-08 19:00:31 UTC,2159.68333333333,35.9947222222222,1.49978009259259
3,-18.8453,34.2532,38,2020-12-16 1:29:27 UTC,2020-12-18 1:42:40 UTC,2893.21666666667,48.2202777777778,2.00917824074074
2,-18.8446,34.193,57,2021-08-12 21:00:02 UTC,2021-08-15 21:16:50 UTC,4336.8,72.28,3.01166666666667
5,-18.8445,34.2202,38,2021-05-21 1:00:02 UTC,2021-05-22 5:00:56 UTC,1680.9,28.015,1.16729166666667
1,-18.8431,34.22,57,2021-01-08 3:58:02 UTC,2021-03-19 2:27:01 UTC,100708.983333333,1678.48305555556,69.9367939814815
4,-18.8421,34.2318,38,2021-01-16 22:55:20 UTC,2021-01-19 20:13:50 UTC,4158.5,69.3083333333333,2.88784722222222
3,-18.8412,34.2823,5,2020-11-11 13:00:40 UTC,2020-11-13 9:00:01 UTC,2639.35,43.9891666666667,1.83288194444444
4,-18.8412,34.2824,3,2020-11-11 5:04:01 UTC,2020-11-13 6:04:02 UTC,2940.01666666667,49.0002777777778,2.04167824074074
4,-18.8411,34.3277,3,2020-09-16 14:05:02 UTC,2020-09-17 14:06:26 UTC,1441.4,24.0233333333333,1.00097222222222
3,-18.8388,34.2418,20,2020-11-10 5:00:40 UTC,2021-09-29 6:00:32 UTC,465119.866666667,7751.99777777778,322.999907407407
5,-18.8388,34.2422,38,2021-05-21 9:00:26 UTC,2021-10-18 8:00:20 UTC,215939.9,3598.99833333333,149.958263888889
1,-18.8366,34.2093,38,2021-01-22 5:29:26 UTC,2021-01-23 14:37:56 UTC,1988.5,33.1416666666667,1.38090277777778
6,-18.8358,34.3086,4,2020-12-25 16:00:08 UTC,2021-02-08 14:00:27 UTC,64680.3166666667,1078.00527777778,44.9168865740741
1,-18.8356,34.2069,38,2021-08-01 13:00:38 UTC,2021-08-10 1:00:01 UTC,12239.3833333333,203.989722222222,8.49957175925926
2,-18.8356,34.207,38,2021-08-01 1:00:10 UTC,2021-08-03 21:00:19 UTC,4080.15,68.0025,2.8334375
1,-18.8355,34.2068,95,2021-08-01 21:00:56 UTC,2021-08-09 21:00:02 UTC,11519.1,191.985,7.999375
1,-18.8354,34.2068,38,2021-07-31 1:00:32 UTC,2021-08-09 17:00:40 UTC,13920.1333333333,232.002222222222,9.66675925925926
3,-18.8354,34.207,76,2021-08-02 9:00:50 UTC,2021-08-05 9:00:55 UTC,4320.08333333333,72.0013888888889,3.00005787037037
4,-18.8349,34.3403,2,2020-10-17 14:00:01 UTC,2020-10-23 14:05:39 UTC,8645.63333333333,144.093888888889,6.00391203703704
4,-18.8348,34.3404,2,2020-10-21 9:00:31 UTC,2020-10-23 6:00:20 UTC,2699.81666666667,44.9969444444444,1.87487268518519
7,-18.8347,34.3403,4,2020-10-23 13:00:25 UTC,2020-11-04 21:00:40 UTC,17820.25,297.004166666667,12.3751736111111
8,-18.8347,34.3405,6,2020-10-22 22:00:39 UTC,2020-10-28 18:00:02 UTC,8459.38333333333,140.989722222222,5.87457175925926
5,-18.8346,34.3403,2,2020-10-06 5:00:39 UTC,2020-10-24 9:00:10 UTC,26159.5166666667,435.991944444444,18.1663310185185
6,-18.8346,34.3404,2,2020-10-22 21:00:32 UTC,2020-11-04 22:00:31 UTC,18839.9833333333,313.999722222222,13.0833217592593
2,-18.8343,34.201,57,2021-08-07 9:00:06 UTC,2021-08-09 13:00:13 UTC,3120.11666666667,52.0019444444445,2.16674768518519
3,-18.8342,34.3412,3,2020-10-24 18:05:02 UTC,2021-11-06 3:00:40 UTC,543475.633333333,9057.92722222222,377.413634259259
4,-18.8342,34.3413,4,2021-10-17 16:00:26 UTC,2021-11-06 3:00:32 UTC,28080.1,468.001666666667,19.5000694444444
5,-18.8342,34.3414,3,2021-10-17 17:00:56 UTC,2021-11-06 4:00:44 UTC,28079.8,467.996666666667,19.4998611111111
2,-18.8339,34.3416,2,2020-10-21 6:00:27 UTC,2020-10-27 10:00:32 UTC,8940.08333333333,149.001388888889,6.2083912037037
3,-18.8339,34.3423,3,2020-10-22 14:00:39 UTC,2021-10-17 14:00:02 UTC,518399.383333333,8639.98972222222,359.999571759259
1,-18.8338,34.3423,2,2020-10-22 9:00:10 UTC,2021-09-08 6:00:55 UTC,462060.75,7701.0125,320.875520833333
5,-18.8333,34.2405,4,2020-11-08 13:04:01 UTC,2020-11-10 9:00:39 UTC,2636.63333333333,43.9438888888889,1.83099537037037
3,-18.8308,34.3436,2,2020-10-22 1:00:09 UTC,2020-10-24 2:00:01 UTC,2939.86666666667,48.9977777777778,2.04157407407407
4,-18.8308,34.3437,3,2020-10-21 17:00:31 UTC,2020-10-24 1:00:50 UTC,3360.31666666667,56.0052777777778,2.33355324074074
5,-18.8308,34.3438,2,2020-10-21 21:00:31 UTC,2020-10-23 22:04:02 UTC,2943.51666666667,49.0586111111111,2.0441087962963
3,-18.8255,34.2325,4,2020-12-11 14:00:09 UTC,2021-02-03 16:00:57 UTC,77880.8,1298.01333333333,54.0838888888889
7,-18.8253,34.359,3,2021-10-26 17:00:57 UTC,2021-11-04 6:00:01 UTC,12359.0666666667,205.984444444444,8.58268518518519
7,-18.8252,34.3476,3,2021-10-26 6:00:10 UTC,2021-11-05 6:00:24 UTC,14460.2333333333,241.003888888889,10.0418287037037
1,-18.8251,34.3474,5,2021-10-25 3:00:05 UTC,2021-10-26 5:00:23 UTC,1560.3,26.005,1.08354166666667
1,-18.8224,34.2392,2,2020-09-27 14:00:19 UTC,2020-10-11 9:00:48 UTC,19860.4833333333,331.008055555556,13.7920023148148
2,-18.822,34.212,57,2021-01-25 20:52:32 UTC,2021-03-08 7:18:02 UTC,59665.5,994.425,41.434375
3,-18.822,34.2121,38,2021-03-08 19:21:01 UTC,2021-03-20 23:39:01 UTC,17538,292.3,12.1791666666667
4,-18.8219,34.212,57,2021-01-25 2:47:58 UTC,2021-03-08 4:17:20 UTC,60569.3666666667,1009.48944444444,42.0620601851852
3,-18.815,34.2267,38,2021-02-01 0:31:50 UTC,2021-02-02 0:38:52 UTC,1447.03333333333,24.1172222222222,1.00488425925926
2,-18.8149,34.2266,38,2021-01-31 21:30:56 UTC,2021-02-02 3:39:08 UTC,1808.2,30.1366666666667,1.25569444444444
