ID,Latitude,Longitude,n,date_min,date_max,mins,hours,days
1,-18.7453,34.6538,4,2021-03-02 18:00:27 UTC,2021-03-03 2:06:36 UTC,1440,24,1
3,-18.7425,34.5782,5,2020-11-03 11:00:31 UTC,2020-11-08 7:00:55 UTC,7200,120,5
4,-18.7425,34.5783,2,2020-11-06 15:00:01 UTC,2020-11-08 19:07:07 UTC,2880,48,2
1,-18.7326,34.6317,4,2021-03-05 22:00:55 UTC,2021-04-05 22:00:40 UTC,44580,743,30.9583333333333
1,-18.7302,34.2475,4,2020-12-14 22:00:01 UTC,2020-12-15 2:00:56 UTC,1440,24,1
1,-18.7244,34.2983,4,2020-11-26 11:59:02 UTC,2020-11-27 4:03:54 UTC,1440,24,1
1,-18.7193,34.2933,4,2020-11-23 19:41:10 UTC,2020-11-25 15:53:01 UTC,2880,48,2
1,-18.708,34.2611,2,2021-02-26 22:00:32 UTC,2021-02-27 6:00:02 UTC,1440,24,1
1,-18.7079,34.261,2,2021-02-26 10:11:26 UTC,2021-02-27 10:00:56 UTC,1440,24,1
2,-18.7041,34.261,4,2020-12-07 17:12:32 UTC,2020-12-08 1:14:40 UTC,1440,24,1
1,-18.7016,34.509,2,2020-12-08 23:00:01 UTC,2020-12-09 3:00:01 UTC,1440,24,1
1,-18.6997,34.4834,3,2020-10-31 19:13:01 UTC,2020-11-16 15:02:25 UTC,23040,384,16
4,-18.6993,34.3396,3,2020-11-06 3:48:32 UTC,2020-11-09 8:09:40 UTC,4320,72,3
2,-18.6917,34.35,2,2020-11-04 23:40:40 UTC,2020-11-05 3:42:20 UTC,1440,24,1
1,-18.6876,34.4487,4,2020-11-10 10:22:01 UTC,2020-11-17 11:08:10 UTC,10080,168,7
3,-18.6875,34.4487,4,2020-11-17 7:07:39 UTC,2020-11-18 11:14:31 UTC,1440,24,1
1,-18.6874,34.4489,4,2020-11-09 6:14:54 UTC,2020-11-11 2:26:10 UTC,2880,48,2
2,-18.6873,34.449,6,2020-11-11 10:29:02 UTC,2020-11-18 15:15:31 UTC,10080,168,7
2,-18.6867,34.4507,4,2020-11-11 14:29:32 UTC,2020-11-13 14:42:31 UTC,2880,48,2
1,-18.6855,34.5594,4,2021-05-01 22:00:01 UTC,2021-05-02 2:00:58 UTC,1440,24,1
3,-18.6834,34.4597,3,2020-12-21 0:43:50 UTC,2020-12-22 20:56:10 UTC,1440,24,1
2,-18.6828,34.4561,2,2020-12-23 17:01:26 UTC,2021-01-04 22:21:56 UTC,17280,288,12
1,-18.6795,34.5076,4,2021-01-22 22:00:01 UTC,2021-01-23 6:00:01 UTC,1440,24,1
1,-18.6794,34.3263,2,2021-01-07 18:41:23 UTC,2021-01-08 2:43:10 UTC,1440,24,1
2,-18.6759,34.4073,2,2021-01-09 6:50:31 UTC,2021-02-12 22:39:56 UTC,48960,816,34
7,-18.6751,34.4595,2,2021-01-03 22:16:02 UTC,2021-01-04 2:17:08 UTC,1440,24,1
1,-18.6746,34.5108,4,2021-01-23 18:00:56 UTC,2021-01-24 14:00:00 UTC,1440,24,1
3,-18.674,34.6323,4,2021-07-15 14:00:31 UTC,2021-07-16 2:00:56 UTC,1440,24,1
2,-18.6735,34.6305,10,2021-07-10 14:00:55 UTC,2021-07-11 2:00:56 UTC,1440,24,1
1,-18.6725,34.538,3,2020-10-25 2:29:10 UTC,2020-12-21 18:00:31 UTC,82140,1369,57.0416666666667
4,-18.6692,34.5391,4,2020-12-18 18:00:44 UTC,2021-01-03 14:08:10 UTC,23040,384,16
3,-18.6644,34.5479,4,2020-12-16 14:00:49 UTC,2021-01-16 6:06:26 UTC,44640,744,31
3,-18.6635,34.5274,6,2020-12-04 21:03:02 UTC,2020-12-05 9:06:26 UTC,1440,24,1
1,-18.6634,34.2885,2,2021-01-12 19:13:31 UTC,2021-01-13 3:16:01 UTC,1440,24,1
2,-18.6546,34.2931,3,2021-01-14 3:23:20 UTC,2021-01-18 23:54:38 UTC,5760,96,4
